order_id,customer_id,product_id,order_date,quantity,total_price
1,920,32,2024-10-03,2,3758.94
2,732,46,2024-06-21,1,2971.06
3,140,31,2024-12-08,1,3584.43
4,475,61,2024-04-02,2,4268.72
5,139,50,2025-02-13,2,7206.36
6,734,92,2024-09-25,1,3043.1
7,397,78,2024-04-04,2,4915.6
8,925,25,2024-11-03,3,1902.6000000000001
9,413,19,2025-02-01,4,7942.76
10,315,54,2024-04-26,3,2863.68
11,889,99,2024-08-19,4,4564.12
12,347,75,2024-04-22,4,6476.4
13,168,11,2024-09-22,2,4866.48
14,44,3,2024-03-31,1,2420.6
15,586,4,2024-06-28,2,6206.46
16,619,60,2024-03-11,4,19363.92
17,30,90,2024-06-19,2,3056.52
18,616,93,2024-08-09,2,828.94
19,117,71,2024-07-28,3,10693.380000000001
20,366,60,2024-07-22,1,4840.98
21,88,47,2024-08-14,1,1857.08
22,41,75,2024-12-18,1,1619.1
23,67,25,2025-02-07,2,1268.4
24,947,66,2024-04-08,3,8728.2
25,753,48,2024-06-12,4,5186.52
26,572,93,2024-07-17,4,1657.88
27,613,44,2024-11-30,4,3021.36
28,956,71,2024-12-04,4,14257.84
29,302,85,2024-04-07,4,8928.92
30,634,60,2025-02-01,4,19363.92
31,667,54,2024-08-01,3,2863.68
32,664,93,2024-06-05,2,828.94
33,659,82,2025-01-27,1,1189.69
34,673,84,2025-01-09,3,5005.65
35,447,14,2024-04-23,2,7994.42
36,140,13,2024-08-01,1,3725.8
37,823,98,2025-03-05,3,13805.849999999999
38,3,93,2024-03-15,1,414.47
39,403,80,2024-11-12,4,5621.96
40,143,78,2024-04-21,1,2457.8
41,147,14,2024-12-24,1,3997.21
42,422,98,2024-08-20,2,9203.9
43,467,52,2024-03-29,3,6108.57
44,844,48,2024-09-23,2,2593.26
45,326,57,2024-03-30,2,6921.44
46,887,68,2025-01-22,3,9977.49
47,426,45,2024-09-02,2,6295.8
48,284,75,2024-12-22,1,1619.1
49,858,45,2024-05-23,1,3147.9
50,510,50,2024-09-05,1,3603.18
51,149,60,2024-11-17,3,14522.939999999999
52,242,58,2024-06-02,2,4082.96
53,292,20,2024-06-23,3,11844.150000000001
54,363,63,2024-08-08,1,3129.27
55,560,58,2024-10-20,4,8165.92
56,587,95,2024-06-13,1,1562.23
57,456,63,2024-04-22,4,12517.08
58,935,73,2024-12-01,2,7365.54
59,1000,85,2024-04-12,4,8928.92
60,445,70,2024-12-25,4,1857.6
61,438,58,2024-03-21,2,4082.96
